,city,area,rooms,bathroom,parking spaces,floor,animal,furniture,hoa,rent_amount,property_tax,fire_insurance,total
0,1,240,3,3,4,-,acept,furnished,0,"8,000","1,000",121,"9,121"
1,0,64,2,1,1,10,acept,not furnished,540,820,122,11,"1,493"
2,1,443,5,5,4,3,acept,furnished,"4,172","7,000","1,417",89,"12,680"
3,1,73,2,2,1,12,acept,not furnished,700,"1,250",150,16,"2,116"
4,1,19,1,1,0,-,not acept,not furnished,0,"1,200",41,16,"1,257"
5,1,13,1,1,0,2,acept,not furnished,0,"2,200",42,28,"2,270"
6,1,55,1,1,1,2,acept,furnished,"1,950","5,000",375,64,"7,389"
7,1,55,2,2,1,2,acept,not furnished,600,"1,300",67,17,"1,984"
8,1,82,3,1,1,3,acept,furnished,828,"2,000",109,26,"2,963"
9,1,32,1,1,1,16,acept,not furnished,533,"2,900",0,37,"3,470"
10,0,60,1,1,0,6,acept,not furnished,480,720,20,10,"1,230"
11,0,64,1,2,1,4,acept,furnished,406,"1,550",0,7,"1,963"
12,1,20,1,1,0,4,acept,furnished,602,"1,800",130,23,"2,555"
13,1,375,4,5,5,1,acept,not furnished,"4,793","15,000","2,805",191,"22,790"
14,1,92,2,1,1,7,not acept,furnished,690,"3,950",0,51,"4,691"
15,0,56,2,1,1,1,acept,not furnished,345,950,11,13,"1,319"
16,0,188,2,3,8,-,acept,not furnished,0,"3,010",584,46,"3,640"
17,1,100,3,2,1,-,acept,not furnished,0,"3,500",260,53,"3,813"
18,1,192,3,3,2,13,acept,not furnished,"2,100","7,800",634,99,"10,630"
19,1,93,3,2,1,10,acept,not furnished,"1,497","3,500",227,45,"5,269"
20,1,155,3,3,2,-,acept,not furnished,0,"2,650",233,40,"2,923"
21,1,80,2,2,0,9,not acept,not furnished,600,"2,550",46,33,"3,229"
22,1,65,2,2,2,14,not acept,not furnished,907,"3,500",0,45,"4,452"
23,1,320,3,3,4,-,acept,not furnished,0,"9,000","1,000",136,"10,140"
24,1,180,3,5,3,3,acept,not furnished,"2,900","8,100",0,103,"11,100"
25,1,31,1,1,1,4,acept,not furnished,272,"3,200",64,41,"3,577"
26,1,105,4,2,2,3,acept,not furnished,"1,659","6,500",400,83,"8,642"
27,1,300,3,4,2,9,acept,furnished,"2,000","14,000","1,084",178,"17,260"
28,0,150,3,2,2,13,acept,not furnished,"1,370","1,800",250,23,"3,443"
29,1,130,3,3,2,-,acept,not furnished,0,"6,000",84,91,"6,175"
30,1,70,2,1,0,1,acept,not furnished,521,"3,000",50,39,"3,610"
31,1,120,3,1,4,-,acept,not furnished,0,"3,500",234,53,"3,787"
32,1,250,3,4,2,-,acept,not furnished,300,"3,480",360,53,"4,193"
33,1,50,1,1,0,1,acept,not furnished,325,"1,550",25,20,"1,920"
34,1,240,3,3,3,3,acept,not furnished,"4,132","3,800",952,49,"8,933"
35,1,250,4,4,2,-,not acept,not furnished,Sem info,"6,600",0,100,"6,700"
36,0,94,3,3,2,1,acept,not furnished,750,"2,200",192,28,"3,170"
37,1,176,3,4,3,4,acept,not furnished,"1,600","6,500",775,83,"8,958"
38,1,180,3,4,5,-,acept,not furnished,Sem info,"3,300",266,50,"3,616"
39,1,191,3,3,4,1,acept,furnished,"2,605","15,000","1,299",191,"19,100"
40,1,25,1,1,0,14,acept,not furnished,257,"1,698",0,22,"1,977"
41,1,800,4,5,4,9,acept,not furnished,"6,000","15,000","3,334",191,"24,530"
42,1,340,3,4,3,-,acept,furnished,0,"9,800",392,148,"10,340"
43,1,90,2,1,0,-,not acept,not furnished,0,"1,450",50,22,"1,522"
44,0,650,5,4,8,-,acept,furnished,0,"8,500",442,128,"9,070"
45,1,100,2,2,0,1,acept,not furnished,0,"2,700",265,35,"3,000"
46,1,230,4,4,4,1,acept,furnished,"2,300","13,500","1,084",172,"17,060"
47,1,190,2,3,2,-,acept,not furnished,0,"13,050","1,284",197,"14,530"
48,1,205,4,4,6,5,acept,not furnished,"2,450","2,720",959,35,"6,164"
49,1,96,3,3,2,8,acept,not furnished,866,"1,790",90,23,"2,769"
50,1,396,4,4,4,-,acept,not furnished,0,"10,000",750,151,"10,900"
51,0,74,3,2,1,7,acept,not furnished,650,"1,600",250,21,"2,521"
52,0,30,1,1,0,5,not acept,furnished,380,500,10,7,897
53,1,64,3,2,1,7,acept,not furnished,522,"1,400",65,18,"2,005"
54,1,105,3,2,2,1,acept,furnished,"1,544","7,800",488,99,"9,931"
55,1,50,1,2,1,10,acept,furnished,"1,050","5,900",259,75,"7,284"
56,1,60,2,1,0,3,not acept,not furnished,400,"1,300",0,17,"1,717"
57,1,50,2,1,1,6,acept,furnished,585,"2,000",49,26,"2,660"
58,1,90,2,2,0,-,acept,not furnished,0,"1,700",38,26,"1,764"
59,1,130,3,2,1,8,not acept,furnished,"1,200","7,500",417,96,"9,213"
60,1,20,1,1,0,1,not acept,furnished,Incluso,"1,950",0,25,"1,975"
61,1,400,4,3,2,-,acept,not furnished,0,"5,650",338,85,"6,073"
62,1,220,3,3,5,-,acept,not furnished,0,"7,500",0,113,"7,613"
63,1,750,7,6,5,-,acept,furnished,0,"5,800",559,88,"6,447"
64,1,20,1,1,0,-,acept,furnished,602,"1,800",130,23,"2,555"
65,0,140,3,2,2,15,not acept,not furnished,998,"2,100",283,27,"3,408"
66,1,22,1,1,0,-,not acept,not furnished,250,"1,080",14,14,"1,358"
67,1,345,2,3,2,4,not acept,not furnished,"3,655","12,000",783,153,"16,590"
68,0,46,2,1,1,3,not acept,not furnished,250,"1,100",53,5,"1,408"
69,1,35,1,1,1,2,not acept,furnished,550,"3,250",30,42,"3,872"
70,0,72,2,2,1,2,acept,not furnished,500,"1,200",97,16,"1,813"
71,1,60,1,1,2,2,not acept,not furnished,"3,398","1,900",288,25,"5,611"
72,1,180,3,2,4,-,not acept,furnished,0,"11,000",667,166,"11,830"
73,1,83,3,2,1,9,not acept,furnished,805,"3,300",80,42,"4,227"
74,1,50,1,1,0,1,acept,not furnished,519,"1,550",28,20,"2,117"
